KJVWord,DictWord
cleanseth,
cleansing,cleansing
clear,clear
clearer,clearer
clearing,clearing
clearly,clearly
clearness,clearness
cleave,cleave
cleaved,cleaved
cleaveth,
cleft,cleft
clefts,
clemency,clemency
clement,clement
cleopas,
cleophas,
cliff,
clift,
clifts,
climb,climb
climbed,climbed
climbeth,
clipped,clipped
clods,
cloke,cloke
close,close
closed,closed
closer,closer
closest,closest
closet,closet
closets,
cloth,cloth
clothe,clothe
clothed,clothed
clothes,clothes
clothest,
clothing,clothing
cloths,
cloud,cloud
clouds,
cloudy,cloudy
clouted,clouted
clouts,
cloven,cloven
clovenfooted,
cluster,cluster
clusters,
cnidus,
coal,coal
coals,
coast,coast
coasts,
coat,coat
coats,
cock,cock
cockatrice,cockatrice
cockatrice',
cockatrices,
cockcrowing,
cockle,cockle
coffer,coffer
coffin,coffin
cogitations,
col-hozeh,
cold,cold
collar,collar
collars,
collection,collection
college,college
collops,
colony,colony
colosse,
colour,
coloured,
colours,
colt,colt
colts,
come,come
comeliness,comeliness
comely,comely
comers,
comest,
cometh,
comfort,comfort
comfortable,comfortable
comfortably,
comforted,comforted
comfortedst,
comforter,comforter
comforters,
comforteth,
comfortless,comfortless
comforts,
coming,coming
comings,
command,command
commanded,commanded
commandedst,
commander,commander
commandest,
commandeth,
commanding,
commandment,commandment
commandments,
commend,commend
commendation,commendation
commended,commended
commendeth,
commending,commending
commission,commission
commissions,
commit,commit
committed,committed
committest,
committeth,
committing,committing
commodious,commodious
common,common
commonly,commonly
commonwealth,
commotion,commotion
commotions,
commune,commune
communed,
communicate,communicate
communicated,communicated
communication,communication
communications,
communing,communing
communion,communion
compact,compact
compacted,compacted
companied,
companies,
companion,companion
companions,
companions',
company,company
comparable,comparable
compare,compare
compared,compared
comparing,comparing
comparison,comparison
compass,compass
compassed,compassed
compassest,
compasseth,
compassing,compassing
compassion,compassion
compassions,
compel,compel
compelled,compelled
compellest,
complain,complain
complained,
complainers,
complaining,complaining
complaint,complaint
complaints,
complete,complete
composition,composition
compound,compound
compoundeth,
comprehend,comprehend
comprehended,comprehended
conaniah,
conceal,conceal
concealed,concealed
concealeth,
conceit,conceit
conceits,
conceive,conceive
conceived,conceived
conceiving,conceiving
conception,conception
concern,concern
concerneth,
concerning,concerning
concision,concision
conclude,conclude
concluded,concluded
conclusion,conclusion
concord,concord
concourse,concourse
concubine,concubine
concubines,
concupiscence,concupiscence
condemn,condemn
condemnation,condemnation
condemned,condemned
condemnest,
condemneth,
condemning,condemning
condescend,condescend
condition,condition
conditions,
conduct,conduct
conducted,conducted
conduit,conduit
coney,coney
confection,confection
confectionaries,
confederacy,confederacy
confederate,confederate
conference,conference
conferred,conferred
confess,confess
confessed,confessed
confesseth,
confessing,confessing
confession,confession
confidence,confidence
confidences,
confident,confident
confidently,confidently
confirm,confirm
confirmation,confirmation
confirmed,confirmed
confirmeth,
confirming,confirming
confiscation,confiscation
conflict,conflict
conformable,conformable
conformed,conformed
confound,confound
confounded,confounded
confused,confused
confusion,confusion
congealed,congealed
congratulate,congratulate
congregation,congregation
congregations,
coniah,
conies,
cononiah,
conquer,conquer
conquering,conquering
conquerors,
conscience,conscience
consciences,
consecrate,consecrate
consecrated,consecrated
consecration,consecration
consecrations,
consent,consent
consented,
consentedst,
consenting,
consider,consider
considered,considered
considerest,
considereth,
considering,considering
consist,consist
consisteth,
consolation,consolation
consolations,
consorted,consorted
conspiracy,conspiracy
conspirators,
conspired,
constant,constant
constantly,constantly
constellations,
constrain,constrain
constrained,constrained
constraineth,
constraint,constraint
consult,consult
consultation,consultation
consulted,consulted
consulter,consulter
consulteth,
consume,consume
consumed,consumed
consumeth,
consuming,consuming
consummation,consummation
consumption,consumption
contain,contain
contained,contained
containeth,
containing,containing
contemn,contemn
contemned,contemned
contemneth,
contempt,contempt
contemptible,contemptible
contemptuously,contemptuously
contend,contend
contended,contended
contendest,
contendeth,
contending,contending
content,content
contention,contention
contentions,
contentious,contentious
contentment,contentment
continual,continual
continually,continually
continuance,continuance
continue,continue
continued,continued
continueth,
continuing,continuing
contradicting,contradicting
contradiction,contradiction
contrariwise,contrariwise
contrary,contrary
contribution,contribution
contrite,contrite
controversies,
controversy,controversy
convenient,convenient
conveniently,conveniently
conversant,conversant
conversation,conversation
conversion,conversion
convert,convert
converted,converted
converteth,
converting,
converts,
convey,convey
conveyed,
convicted,convicted
convince,convince
convinced,convinced
convinceth,
convocation,convocation
convocations,
cook,cook
cooks,
cool,cool
coos,
copied,copied
coping,coping
copper,copper
coppersmith,
copulation,copulation
copy,copy
cor,
coral,coral
corban,corban
cord,cord
cords,
core,core
coriander,coriander
corinth,corinth
corinthians,
cormorant,cormorant
corn,corn
cornelius,
corner,corner
corners,
cornet,cornet
cornets,
cornfloor,cornfloor
corpse,corpse
corpses,
correct,correct
corrected,corrected
correcteth,
correction,correction
corrupt,corrupt
corrupted,corrupted
corrupters,
corrupteth,
corruptible,corruptible
corrupting,corrupting
corruption,corruption
corruptly,corruptly
cosam,
cost,cost
costliness,costliness
costly,costly
cotes,
cottage,cottage
cottages,
couch,couch
couched,couched
couches,
coucheth,
couching,couching
couchingplace,
could,could
couldest,
coulter,coulter
coulters,
council,council
councils,
counsel,counsel
counselled,
counsellor,
counsellors,
counsels,
count,count
counted,counted
countenance,countenance
countenances,
countervail,countervail
counteth,
counting,
countries,
country,country
countrymen,
couple,couple
coupled,coupled
coupleth,
coupling,coupling
couplings,
courage,courage
courageous,courageous
courageously,courageously
course,course
courses,courses
court,court
courteous,courteous
courteously,courteously
courts,
cousin,cousin
cousins,
covenant,covenant
covenantbreakers,
covenanted,covenanted
covenants,
cover,cover
covered,covered
coveredst,
coverest,
covereth,
covering,covering
coverings,
covers,
covert,covert
covet,covet
coveted,coveted
coveteth,
covetous,covetous
covetousness,covetousness
cow,cow
cow's,
coz,coz
cozbi,
crackling,crackling
cracknels,
craft,craft
craftiness,craftiness
craftsman,craftsman
craftsmen,
crafty,crafty
crag,crag
crane,crane
crashing,crashing
craved,craved
craveth,
create,create
created,created
createth,
creation,creation
creator,creator
creature,creature
creatures,
creditor,creditor
creditors,
creek,creek
creep,creep
creepeth,
creeping,creeping
crept,crept
crescens,
crete,
cretes,
cretians,
crew,crew
crib,crib
cried,cried
cries,
criest,
crieth,
crime,crime
crimes,
crimson,crimson
cripple,cripple
crisping,crisping
crispus,
crookbackt,
crooked,crooked
crop,crop
cropped,cropped
cross,cross
crossway,
crouch,crouch
croucheth,
crow,crow
crown,crown
crowned,crowned
crownedst,
crownest,
crowneth,
crowning,crowning
crowns,
crucified,
crucify,crucify
cruel,cruel
cruelly,cruelly
cruelty,cruelty
crumbs,
cruse,cruse
crush,crush
crushed,crushed
cry,cry
crying,crying
crystal,crystal
cubit,cubit
cubits,
cuckow,
cucumbers,
cud,cud
cumbered,
cumbereth,
cumbrance,cumbrance
cumi,
cummin,
cunning,cunning
cunningly,cunningly
cup,cup
cupbearer,cupbearer
cupbearers,
cups,
curdled,curdled
cure,cure
cured,cured
cures,
curious,curious
curiously,curiously
current,current
curse,curse
cursed,cursed
cursedst,
curses,
cursest,
curseth,
cursing,cursing
cursings,
curtain,curtain
curtains,
cush,
cushan,
cushi,
custody,custody
custom,custom
customs,
cut,cut
cuth,cuth
cuthah,
cuttest,
cutteth,
cutting,cutting
cuttings,
cymbal,cymbal
cymbals,
cypress,cypress
cyprus,cyprus
cyrene,
cyrenian,
cyrenians,
cyrenius,
cyrus,
dabareh,
dabbasheth,
daberath,
dagger,dagger
dagon,
dagon's,
daily,daily
dainties,
dainty,dainty
dalaiah,
dale,dale
dalmanutha,
dalmatia,
dalphon,
dam,dam
damage,damage
damaris,
damascenes,
damascus,
damnable,damnable
damnation,damnation
damned,damned
damsel,damsel
damsel's,
damsels,
dan,dan
dan-jaan,
dance,dance
danced,
dances,
dancing,dancing
dandled,dandled
danger,danger
dangerous,dangerous
daniel,
danites,
dannah,
dara,
darda,
dare,dare
darius,
dark,dark
darken,darken
darkened,darkened
darkeneth,
darkish,darkish
darkly,darkly
darkness,darkness
darkon,
darling,darling
dart,dart
darts,
dash,dash
dashed,dashed
dasheth,
dathan,
daub,daub
daubed,daubed
daubing,daubing
daughter,daughter
daughter's,
daughters,
david,
david's,
dawn,dawn
dawning,dawning
day,day
day's,
days,
days',
daysman,daysman
dayspring,dayspring
daytime,daytime
deacon,deacon
deacons,
dead,dead
deadly,deadly
deadness,deadness
deaf,deaf
deal,deal
dealer,dealer
dealers,
dealest,
dealeth,
dealing,dealing
dealings,
deals,
dealt,
dear,dear
dearly,dearly
dearth,dearth
death,death
deaths,
debase,debase
debate,debate
debates,
debir,
deborah,
debt,debt
debtor,debtor
debtors,
debts,
decapolis,
decay,decay
decayed,decayed
decayeth,
decease,decease
deceased,deceased
deceit,deceit
deceitful,deceitful
deceitfully,deceitfully
deceitfulness,deceitfulness
deceits,
deceivableness,deceivableness
deceive,deceive
deceived,deceived
deceiver,deceiver
deceivers,
deceiveth,
deceiving,deceiving
deceivings,
decently,
decided,decided
decision,decision
deck,deck
decked,decked
deckedst,
deckest,
decketh,
declaration,declaration
declare,declare
declared,declared
declareth,
declaring,declaring
decline,decline
declined,declined
declineth,
decrease,decrease
decreased,decreased
decree,decree
decreed,decreed
decrees,
dedan,
dedanim,
dedicate,dedicate
dedicated,dedicated
dedicating,dedicating
dedication,dedication
deed,deed
deeds,
deemed,deemed
deep,deep
deeper,
deeply,deeply
deepness,deepness
deeps,
deer,deer
defamed,defamed
defaming,defaming
defeat,defeat
defence,
defenced,
defend,defend
defended,defended
defendest,
defending,defending
defer,defer
deferred,
deferreth,
defied,
defile,defile
defiled,defiled
defiledst,
defileth,
defraud,defraud
defrauded,defrauded
defy,defy
degenerate,degenerate
degree,degree
degrees,
dehavites,
dekar,
delaiah,
delay,delay
delayed,delayed
delayeth,
delectable,
delicacies,
delicate,delicate
delicately,delicately
delicateness,delicateness
delicates,
deliciously,deliciously
delight,delight
delighted,delighted
delightest,
delighteth,
delights,
delightsome,delightsome
delilah,
deliver,deliver
deliverance,deliverance
deliverances,
delivered,delivered
deliveredst,
deliverer,deliverer
deliverest,
delivereth,
delivering,delivering
delivery,delivery
delusion,delusion
delusions,
demand,demand
demanded,demanded
demas,
demetrius,
demonstration,demonstration
den,den
denied,
denieth,
denounce,denounce
dens,
deny,deny
denying,
depart,depart
departed,
departeth,
departing,departing
departure,departure
deposed,deposed
deprived,deprived
depth,depth
depths,
deputed,deputed
deputies,
deputy,deputy
derbe,
deride,deride
derided,derided
derision,derision
descend,descend
descended,
descendeth,
descending,
descent,descent
describe,describe
described,described
describeth,
description,description
descry,descry
desert,desert
deserts,
deserve,deserve
deserveth,
deserving,deserving
desirable,desirable
desire,desire
desired,desired
desiredst,
desires,
desirest,
desireth,
desiring,desiring
desirous,desirous
desolate,desolate
desolation,desolation
desolations,
despair,despair
despaired,
desperate,desperate
desperately,desperately
despise,despise
despised,despised
despisers,
despisest,
despiseth,
despising,despising
despite,despite
despiteful,despiteful
despitefully,despitefully
destitute,destitute
destroy,destroy
destroyed,destroyed
destroyer,destroyer
destroyers,
destroyest,
destroyeth,
destroying,destroying
destruction,destruction
destructions,
detain,detain
detained,detained
determinate,determinate
determination,determination
determine,determine
determined,determined
detest,detest
detestable,detestable
deuel,
device,device
devices,
devil,devil
devilish,devilish
devils,
devise,devise
devised,devised
deviseth,
devote,devote
devoted,devoted
devotions,
devour,devour
devoured,devoured
devourer,devourer
devourest,
devoureth,
devouring,devouring
devout,devout
dew,dew
diadem,diadem
dial,dial
diamond,diamond
diana,
diblaim,
diblath,
dibon,
dibon-gad,
dibri,
did,did
diddest,
didst,
didymus,
die,die
died,
diest,
diet,diet
dieth,
differ,differ
difference,difference
differences,
differeth,
differing,differing
dig,dig
digged,digged
diggedst,
diggeth,
dignities,
dignity,dignity
diklah,
dilean,
diligence,diligence
diligent,diligent
diligently,diligently
dim,dim
diminish,diminish
diminished,diminished
diminishing,diminishing
dimnah,
dimness,dimness
dimon,
dimonah,
dinah,
dinah's,
dinaites,
dine,dine
dined,
dinhabah,
dinner,dinner
dionysius,
diotrephes,
dip,dip
dipped,
dippeth,
direct,direct
directed,directed
directeth,
direction,direction
directly,directly
dirt,dirt
disallow,disallow
disallowed,disallowed
disannul,disannul
disannulled,disannulled
disannulleth,
disannulling,disannulling
disappoint,disappoint
disappointed,disappointed
disappointeth,
discern,discern
discerned,discerned
discerner,discerner
discerneth,
discerning,discerning
discharge,discharge
discharged,discharged
disciple,disciple
disciples,
disciples',
discipline,discipline
disclose,disclose
discomfited,discomfited
discomfiture,discomfiture
discontented,discontented
discontinue,discontinue
discord,discord
discourage,discourage
discouraged,discouraged
discover,discover
discovered,discovered
discovereth,
discovering,discovering
discreet,discreet
discreetly,discreetly
discretion,discretion
disdained,disdained
disease,disease
diseased,diseased
diseases,
disfigure,disfigure
disgrace,disgrace
disguise,disguise
disguised,disguised
disguiseth,
dish,dish
dishan,
dishes,
dishon,
dishonest,dishonest
dishonesty,dishonesty
dishonour,
dishonourest,
dishonoureth,
disinherit,disinherit
dismayed,dismayed
dismaying,dismaying
dismissed,dismissed
disobedience,disobedience
disobedient,disobedient
disobeyed,disobeyed
disorderly,disorderly
dispatch,dispatch
dispensation,dispensation
disperse,disperse
dispersed,dispersed
dispersions,
displayed,displayed
displease,displease
displeased,displeased
displeasure,displeasure
disposed,disposed
disposing,disposing
disposition,disposition
dispossess,dispossess
dispossessed,dispossessed
disputation,disputation
disputations,
dispute,dispute
disputed,disputed
disputer,disputer
disputing,disputing
disputings,
disquiet,disquiet
disquieted,disquieted
disquietness,disquietness
dissembled,dissembled
dissemblers,
dissembleth,
dissension,dissension
dissimulation,dissimulation
dissolve,dissolve
dissolved,dissolved
dissolvest,
dissolving,dissolving
distaff,distaff
distant,distant
distil,
distinction,distinction
distinctly,distinctly
distracted,distracted
distraction,distraction
distress,distress
distressed,distressed
distresses,
distribute,distribute
distributed,distributed
distributeth,
distributing,distributing
distribution,distribution
ditch,ditch
ditches,
divers,divers
diverse,diverse
diversities,
divide,divide
divided,divided
divider,divider
divideth,
dividing,dividing
divination,divination
divinations,
divine,divine
diviners,
divineth,
divining,
division,division
divisions,
divorce,divorce
divorced,divorced
divorcement,divorcement
dizahab,
do,do
doctor,doctor
doctors,
doctrine,doctrine
doctrines,
dodai,
dodanim,
dodavah,
dodo,dodo
doeg,
doer,doer
doers,
doest,
doeth,
dog,dog
dog's,
dogs,
doing,doing
doings,doings
doleful,doleful
dominion,dominion
dominions,
done,done
door,door
doorkeeper,
doorkeepers,
doors,
dophkah,
dor,dor
dorcas,
dost,dost
dote,dote
doted,
doth,
dothan,
doting,doting
double,double
doubled,doubled
doubletongued,
doubt,doubt
doubted,doubted
doubteth,
doubtful,doubtful
doubting,doubting
doubtless,doubtless
doubts,
dough,dough
dove,dove
dove's,
doves,
doves',
down,down
downsitting,
downward,downward
dowry,dowry
drag,drag
dragging,dragging
dragon,dragon
dragons,dragons
drams,
drank,drank
draught,draught
drave,drave
draw,draw
drawer,drawer
drawers,
draweth,
drawing,drawing
drawn,drawn
dread,dread
dreadful,dreadful
dream,dream
dreamed,
dreamer,dreamer
dreamers,
dreameth,
dreams,
dregs,dregs
dress,dress
dressed,dressed
dresser,dresser
dressers,
dresseth,
drew,
drewest,
dried,dried
driedst,
drieth,
drink,drink
drinkers,
drinketh,
drinking,drinking
drinks,
drive,drive
driven,driven
driver,driver
driveth,
driving,driving
dromedaries,
dromedary,dromedary
drop,drop
dropped,dropped
droppeth,
dropping,dropping
drops,drops
dropsy,dropsy
dross,dross
drought,drought
drove,drove
droves,
drown,drown
drowned,drowned
drowsiness,drowsiness
drunk,drunk
drunkard,drunkard
drunkards,
drunken,drunken
drunkenness,drunkenness
drusilla,
dry,dry
dryshod,dryshod
due,due
dues,
duke,duke
dukes,
dulcimer,dulcimer
dull,dull
dumah,
dumb,dumb
dung,dung
dungeon,dungeon
dunghill,dunghill
dunghills,
dura,
durable,durable
dureth,
durst,durst
dust,dust
duties,
duty,duty
dwarf,dwarf
dwell,dwell
dwelled,
dwellers,
dwellest,
dwelleth,
dwelling,dwelling
dwellingplace,
dwellingplaces,
dwellings,
dwelt,
dyed,dyed
dying,dying
each,each
eagle,eagle
eagle's,
eagles,
eagles',
ear,ear
eared,eared
earing,earing
early,early
earnest,earnest
earnestly,earnestly
earneth,
earring,earring
earrings,
ears,
earth,earth
earthen,earthen
earthly,earthly
earthquake,earthquake
earthquakes,
earthy,earthy
ease,ease
eased,
easier,
easily,easily
east,east
easter,easter
eastward,eastward
easy,easy
eat,eat
eaten,eaten
eater,eater
eaters,
eatest,
eateth,
eating,eating
ebal,
ebed,
ebed-melech,
eben-ezer,
eber,
ebiasaph,
ebony,ebony
ebronah,
ed,ed
edar,
eden,eden
eder,
edge,edge
edges,
edification,edification
edified,edified
edifieth,
edify,edify
edifying,edifying
edom,
edomite,
edomites,
edrei,
effect,effect
effected,effected
effectual,effectual
effectually,effectually
effeminate,effeminate
egg,egg
eggs,
eglah,
eglaim,
eglon,
egypt,
egyptian,egyptian
egyptian's,
egyptians,
ehi,
ehud,
eight,eight
eighteen,eighteen
eighteenth,eighteenth
eighth,eighth
eightieth,eightieth
eighty,eighty
either,either
eker,
ekron,
ekronites,
el-beth-el,
el-elohe-israel,
el-paran,
eladah,
elah,
elam,
elamites,
elasah,
elath,
eldaah,
eldad,
elder,elder
elders,
eldest,eldest
elead,
elealeh,
eleasah,
eleazar,
elect,elect
elect's,
elected,elected
election,election
elements,
eleph,
eleven,eleven
eleventh,eleventh
elhanan,
eli,
eli's,
eliab,
eliab's,
eliada,
eliadah,
eliah,
eliahba,
eliakim,
eliam,
elias,
eliasaph,
eliashib,
eliathah,
elidad,
eliel,
elienai,
eliezer,
elihoenai,
elihoreph,
elihu,
elijah,
elika,
elim,
elimelech,
elimelech's,
elioenai,
eliphal,
eliphalet,
eliphaz,
elipheleh,
eliphelet,
elisabeth,
elisabeth's,
eliseus,
elisha,
elishah,
elishama,
elishaphat,
elisheba,
elishua,
eliud,
elizaphan,
elizur,
elkanah,
elkoshite,
ellasar,
elmodam,
elms,
elnaam,
elnathan,
eloi,
elon,
elon-beth-hanan,
elonites,
eloquent,eloquent
eloth,
elpaal,
elpalet,
else,else
eltekeh,
eltekon,
eltolad,
elul,
eluzai,
elymas,
elzabad,
elzaphan,
embalm,embalm
embalmed,embalmed
emboldened,emboldened
emboldeneth,
embrace,embrace
embraced,embraced
embracing,embracing
embroider,embroider
embroiderer,embroiderer
emerald,emerald
emeralds,
emerods,emerods
emims,
eminent,eminent
emmanuel,
emmaus,
emmor,
empire,empire
employ,employ
employed,employed
employment,employment
emptied,
emptiers,
emptiness,emptiness
empty,empty
emulation,emulation
emulations,
en-eglaim,
en-gannim,
en-gedi,
en-haddah,
en-hakkore,
en-hazor,
en-mishpat,
en-rimmon,
en-rogel,
en-shemesh,
en-tappuah,
enabled,enabled
enam,
enan,
encamp,encamp
encamped,encamped
encampeth,
encamping,encamping
enchanter,enchanter
enchanters,
enchantment,enchantment
enchantments,
encountered,encountered
encourage,encourage
encouraged,encouraged
end,end
endamage,endamage
endanger,endanger
endangered,endangered
endeavour,
endeavoured,
endeavouring,
endeavours,
ended,
endeth,
ending,ending
endless,endless
endor,
endow,endow
ends,
endued,
endure,endure
endured,endured
endureth,
enduring,enduring
enemies,
enemies',
enemy,enemy
enemy's,
enflaming,
engaged,engaged
engines,
engrafted,
engrave,engrave
engraven,engraven
engraver,engraver
engravings,
enjoin,enjoin
enjoined,enjoined
enjoy,enjoy
enjoyed,enjoyed
enlarge,enlarge
enlarged,enlarged
enlargement,enlargement
enlargeth,
enlarging,enlarging
enlighten,enlighten
enlightened,enlightened
enlightening,enlightening
enmity,enmity
enoch,
enos,
enosh,
enough,enough
enquire,enquire
enquired,
enquirest,
enquiry,
enrich,enrich
enriched,enriched
enrichest,
ensample,ensample
ensamples,
ensign,ensign
ensigns,
ensnared,
ensue,ensue
entangle,entangle
entangled,entangled
entangleth,
enter,enter
entered,entered
entereth,
entering,entering
enterprise,enterprise
entertain,entertain
entertained,entertained
entice,entice
enticed,enticed
enticeth,
enticing,enticing
entire,entire
entrance,entrance
entrances,
entreat,entreat
entreated,entreated
entreateth,
entries,
entry,entry
envied,envied
envies,
enviest,
envieth,
envious,envious
environ,environ
envy,envy
envying,envying
envyings,
epaenetus,
epaphras,
epaphroditus,
ephah,
ephai,
epher,
ephes-dammim,
ephesian,
ephesians,
ephesus,
ephlal,
ephod,ephod
ephphatha,
ephraim,
ephraim's,
ephraimite,
ephraimites,
ephrain,
ephratah,
ephrath,
ephrathite,
ephrathites,
ephron,
epicureans,
epistle,epistle
epistles,
equal,equal
equality,equality
equally,equally
equals,
equity,equity
er,er
eran,
eranites,
erastus,
ere,ere
erech,
erected,erected
eri,
erites,
err,err
errand,errand
erred,
erreth,
error,error
errors,
esaias,
esar-haddon,
esau,
esau's,
escape,escape
escaped,
escapeth,
escaping,escaping
eschew,eschew
eschewed,eschewed
escheweth,
esek,
esh-baal,
eshban,
eshcol,
eshean,
eshek,
eshkalonites,
eshtaol,
eshtaulites,
eshtemoa,
eshtemoh,
eshton,
esli,
especially,especially
espied,
espousals,espousals
espoused,espoused
espy,espy
esrom,
establish,establish
established,established
establisheth,
establishment,establishment
estate,estate
estates,
esteem,esteem
esteemed,esteemed
esteemeth,
esteeming,esteeming
esther,
esther's,
estimate,estimate
estimation,estimation
estimations,
estranged,estranged
etam,
eternal,eternal
eternity,eternity
etham,
ethan,
ethanim,
ethbaal,
ether,ether
ethiopia,
ethiopian,
ethiopians,
ethnan,
ethni,
eubulus,
eunice,
eunuch,eunuch
eunuchs,
euodias,
euphrates,
euroclydon,euroclydon
eutychus,
evangelist,evangelist
evangelists,
eve,eve
even,even
evening,evening
evenings,
eveningtide,
event,event
eventide,
ever,ever
everlasting,everlasting
evermore,evermore
every,every
evi,
evidence,evidence
evidences,
evident,evident
evidently,evidently
evil,evil
evil-merodach,
evildoer,evildoer
evildoers,
evilfavouredness,
evils,
ewe,ewe
ewes,
exact,exact
exacted,exacted
exacteth,
exaction,exaction
exactions,
exactors,
exalt,exalt
exalted,exalted
exaltest,
exalteth,
examination,examination
examine,examine
examined,examined
examining,examining
example,example
examples,
exceed,exceed
exceeded,exceeded
exceedest,
exceedeth,
exceeding,exceeding
exceedingly,exceedingly
excel,excel
excelled,excelled
excellency,
excellent,excellent
excellest,
excelleth,
except,except
excepted,excepted
excess,excess
exchange,exchange
exchangers,
exclude,exclude
excluded,excluded
excuse,excuse
excused,
excusing,excusing
execration,execration
execute,execute
executed,executed
executedst,
executest,
executeth,
executing,executing
execution,execution
executioner,executioner
exempted,exempted
exercise,exercise
exercised,exercised
exerciseth,
exhort,exhort
exhortation,exhortation
exhorted,exhorted
exhorteth,
exhorting,exhorting
exile,exile
exorcists,
expectation,expectation
expected,
expecting,expecting
expedient,expedient
expel,expel
expelled,expelled
expenses,
experience,experience
experiment,experiment
expert,expert
expired,
exploits,
expound,expound
expounded,expounded
express,express
expressed,expressed
expressly,expressly
extend,extend
extended,extended
extendeth,
extinct,extinct
extol,extol
extolled,extolled
extortion,extortion
extortioner,extortioner
extortioners,
extreme,extreme
extremity,extremity
eye,eye
eye's,
eyebrows,
eyed,eyed
eyelids,
eyes,
eyesalve,
eyeservice,
eyesight,eyesight
eyewitnesses,
ezbai,
ezbon,
ezekias,
ezekiel,
ezel,
ezem,
ezer,
ezion-gaber,
ezion-geber,
eznite,
ezra,
ezrahite,
ezri,
fables,
face,face
faces,
fade,fade
fadeth,
fading,fading
fail,fail
failed,
faileth,
failing,failing
fain,fain
faint,faint
fainted,
faintest,
fainteth,
fainthearted,fainthearted
faintness,faintness
fair,fair
fairer,
fairest,
fairs,
faith,faith
faithful,faithful
faithfully,faithfully
faithfulness,faithfulness
faithless,faithless
fall,fall
fallen,fallen
fallest,
falleth,
falling,falling
fallow,fallow
fallowdeer,
false,false
falsehood,falsehood
falsely,falsely
falsifying,falsifying
fame,fame
familiar,familiar
familiars,
families,
family,family
famine,famine
famines,
famish,famish
famished,famished
famous,famous
fan,fan
fanners,
far,far
fare,fare
fared,
farewell,farewell
farm,farm
farther,farther
farthing,farthing
farthings,
fashion,fashion
fashioned,fashioned
fashioneth,
fashioning,fashioning
fashions,
fast,fast
fasted,
fasten,fasten
fastened,fastened
fastening,fastening
fastest,
fasting,fasting
fastings,
fat,fat
fatfleshed,
father,father
father's,
fatherless,fatherless
fathers,
fathers',
fathoms,
fatling,fatling
fatlings,
fatness,fatness
fats,
fatted,
fatter,
fattest,
fault,fault
faultless,faultless
faults,
faulty,faulty
favour,
favourable,
favoured,
favourest,
favoureth,
fear,fear
feared,feared
fearest,
feareth,
fearful,fearful
fearfully,fearfully
fearfulness,fearfulness
fearing,
fears,
feast,feast
feasted,feasted
feasting,feasting
feasts,
feathered,feathered
feathers,
fed,fed
feeble,feeble
feebleminded,
feebleness,feebleness
feebler,
feed,feed
feedest,
feedeth,
feeding,feeding
feedingplace,
feel,feel
feeling,feeling
feet,feet
feign,feign
feigned,feigned
feignedly,feignedly
feignest,
felix,
felix',
fell,fell
felled,felled
feller,feller
fellest,
felling,felling
felloes,
fellow,fellow
fellow's,
fellowcitizens,
fellowdisciples,
fellowheirs,
fellowhelper,
fellowhelpers,
fellowlabourer,
fellowlabourers,
fellowprisoner,
fellowprisoners,
fellows,
fellowservant,
fellowservants,
fellowship,fellowship
fellowsoldier,
fellowworkers,
felt,felt
female,female
fence,fence
fenced,fenced
fens,
ferret,ferret
ferry,ferry
fervent,fervent
fervently,fervently
festus,
festus',
fetch,fetch
fetched,
fetcheth,
fetcht,
fetters,
fever,fever
few,few
fewer,
fewest,
fewness,fewness
fidelity,fidelity
field,field
fields,
fierce,fierce
fierceness,fierceness
fiercer,
fiery,fiery
fifteen,fifteen
fifteenth,fifteenth
fifth,fifth
fifties,
fiftieth,fiftieth
fifty,fifty
fig,fig
fight,fight
fighteth,
fighting,fighting
fightings,
figs,
figure,figure
figures,
file,file
fill,fill
filled,filled
filledst,
fillest,
fillet,fillet
filleted,
filleth,
fillets,
filling,filling
filth,filth
filthiness,filthiness
filthy,filthy
finally,finally
find,find
findest,
findeth,
finding,finding
fine,fine
finer,finer
finest,
finger,finger
fingers,
fining,fining
finish,finish
finished,finished
finisher,finisher
fins,
fir,fir
fire,fire
firebrand,firebrand
firebrands,
firepans,
fires,
firkins,
firm,firm
firmament,firmament
first,first
firstbegotten,
firstborn,
firstfruit,
firstfruits,
firstling,firstling
firstlings,
firstripe,
fish,fish
fish's,
fisher's,
fishermen,
fishers,
fishes,
fishhooks,
fishing,fishing
fishpools,
fist,fist
fists,
fit,fit
fitches,
fitly,fitly
fitted,fitted
fitteth,
five,five
fixed,fixed
flag,
flagon,flagon
flagons,
flags,
flakes,
flame,flame
flames,
flaming,flaming
flanks,
flash,flash
flat,flat
flatter,flatter
flattereth,
flatteries,
flattering,flattering
flattery,flattery
flax,flax
flay,flay
flayed,flayed
flea,flea
fled,fled
fleddest,
flee,flee
fleece,fleece
fleeing,
fleeth,
flesh,flesh
fleshhook,fleshhook
fleshhooks,
fleshly,fleshly
fleshy,fleshy
flew,flew
flies,
flieth,
flight,flight
flint,flint
flinty,flinty
floats,
flock,flock
flocks,
flood,flood
floods,
floor,floor
floors,
flour,flour
flourish,flourish
flourished,flourished
flourisheth,
flourishing,flourishing
flow,flow
flowed,flowed
flower,flower
flowers,
floweth,
flowing,flowing
flute,flute
fluttereth,
flux,flux
fly,fly
flying,flying
foal,foal
foals,
foam,foam
foameth,
foaming,foaming
fodder,fodder
foes,
fold,fold
folden,
foldeth,
folding,folding
folds,
folk,folk
folks,
